가격,차량정보,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,옵션
44500000,155누4281,23년04월(23년형),"32,070km",가솔린,오토,정보없음,중형,"1,998cc",흰색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,"['썬루프', '알루미늄휠', '전동접이식미러', '주간주행등(DRL)', 'LED리어램프', '하이빔 어시스트', '열선시트', '통풍시트', '파워핸들', '핸들 리모컨', '가죽시트', '운전석전동시트', '조수석전동시트', '메모리시트', '패들시프트', '하이패스', '열선시트(뒷좌석)', '워크인시트', '통풍시트(동승석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'ECS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '무릎에어백', '주차감지센서(전방)', '자동긴급제동(AEB)', '스마트키', '파워윈도우', '자동도어잠금', '풀오토에어컨', '오토라이트', '전자식파킹브레이크', 'HUD', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '무선도어 잠금장치', '레인센서와이퍼', '내비게이션', 'AV시스템', 'USB', '블루투스']"
163000000,226모7306,23년09월(24년형),"3,973km",하이브리드,오토,정보없음,SUV,"4,395cc",파랑색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,[]
27900000,173마9053,23년12월(24년형),"17,447km",LPG,오토,정보없음,SUV,"1,999cc",회색,정보없음,없음,없음,사고없음,없음,없음,있음,2회,"['썬루프', '알루미늄휠', '파노라마썬루프', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '하이패스', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', 'ABS', '스마트키', '풀오토에어컨', 'ECM룸밀러', '핸들열선', '내비게이션']"
43500000,208라1421,22년02월(22년형),"24,784km",가솔린,오토,정보없음,준중형,"1,991cc",흰색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,"['파노라마썬루프', '열선시트', '메모리시트', '차선이탈경보장치', '전자식파킹브레이크', '크루즈컨트롤', '핸들열선', '내비게이션']"
9900000,156다3303,22년06월(22년형),"34,855km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고없음,없음,없음,없음,1회,"['제논라이트(HID)', '알루미늄휠', '전동접이식미러', '열선시트', '통풍시트', '파워핸들', '핸들 리모컨', '가죽시트', '하이패스', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '블랙박스', 'ABS', 'ECS', 'TCS', '타이어 공기압감지', '무릎에어백', '스마트키', '파워윈도우', '풀오토에어컨', '오토라이트', 'ECM룸밀러', '핸들열선', '내비게이션', 'CD플레이어', 'CD체인저', 'AV시스템', 'MP3', 'AUX', 'USB', '핸즈프리', 'iPod 단자', '블루투스']"
139990000,172우1347,23년03월(23년형),"13,753km",가솔린,오토,정보없음,SUV,"2,995cc",검정,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['썬루프', '열선시트', '통풍시트', '메모리시트', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '주차감지센서(전방)', '자동주차시스템', '전자식파킹브레이크', 'HUD', '크루즈컨트롤', '핸들열선', '내비게이션']"
18800000,399수4862,17년11월(18년형),"116,485km",가솔린,오토,정보없음,RV,"3,342cc",미색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['썬루프', '열선시트', '통풍시트', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '전자식파킹브레이크', '크루즈컨트롤', '핸들열선', '내비게이션']"
24300000,21다7718,19년10월(20년형),"10,905km",기타,오토,정보없음,중형,1cc,흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,"['썬루프', '알루미늄휠', '전동접이식미러', '파노라마썬루프', '열선시트', '통풍시트', '파워핸들', '핸들 리모컨', '가죽시트', '운전석전동시트', '메모리시트', '슈퍼비전계기판', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', '블랙박스', 'ABS', 'ECS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '스마트키', '풀오토에어컨', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '핸들열선', '내비게이션']"
20300000,229누4126,20년07월(20년형),"88,421km",하이브리드(가솔린),오토,정보없음,중형,"1,999cc",진주색,정보없음,없음,없음,사고없음,없음,없음,있음,1회,"['제논라이트(HID)', '알루미늄휠', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '어라운드뷰', 'ABS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '무릎에어백', '자동긴급제동(AEB)', '스마트키', '파워윈도우', '풀오토에어컨', '전자식파킹브레이크', '크루즈컨트롤', '핸들열선', '내비게이션', 'MP3', 'USB', '핸즈프리', 'iPod 단자']"
55300000,120나3813,23년04월(23년형),"18,858km",가솔린,오토,정보없음,대형,"2,497cc",검정색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['열선시트', '통풍시트', '메모리시트', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '전자식파킹브레이크', 'HUD', '크루즈컨트롤', '핸들열선', '내비게이션']"
11200000,56모1469,18년01월(18년형),"123,642km",가솔린,오토,정보없음,중형,"1,999cc",미색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,[]
21800000,47고5580,19년02월(19년형),"117,212km",디젤,오토,정보없음,준중형,"1,950cc",회색,정보없음,없음,없음,사고없음,없음,없음,없음,6회,"['썬루프', '알루미늄휠', '열선시트', '가죽시트', '메모리시트', '하이패스', '메모리시트(동승석)', '후방카메라', 'ABS', '차체자세제어장치', '자동긴급제동(AEB)', '전자식파킹브레이크', 'ECM룸밀러', '핸들열선', '레인센서와이퍼']"
26500000,178두3993,22년07월(22년형),"58,579km",하이브리드(가솔린),오토,정보없음,SUV,"1,580cc",검정,정보없음,없음,없음,사고없음,없음,없음,없음,2회,"['차체자세제어장치', '차선이탈경보장치', '전자식파킹브레이크', '크루즈컨트롤']"
39990000,250누9004,21년05월(21년형),"72,243km",가솔린,오토,정보없음,SUV,"2,497cc",검정,정보없음,없음,없음,사고없음,없음,없음,있음,1회,"['썬루프', '제논라이트(HID)', '알루미늄휠', '파노라마썬루프', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '뒷좌석전동시트', '메모리시트', '안마시트', '하이패스', '메모리시트(동승석)', '열선시트(뒷좌석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'ECS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '주차감지센서(전방)', '전방카메라', '스마트키', '풀오토에어컨', '자동주차시스템', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'CD체인저', 'MP3', 'AUX', 'USB']"
29900000,142로9967,23년04월(23년형),"8,823km",가솔린,오토,정보없음,SUV,"1,598cc",검정색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['썬루프', '제논라이트(HID)', '알루미늄휠', '파노라마썬루프', '어댑티드헤드램프', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '조수석전동시트', '뒷좌석전동시트', '메모리시트', '안마시트', '하이패스', '메모리시트(동승석)', '열선시트(뒷좌석)', '통풍시트(동승석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'ECS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '무릎에어백', '주차감지센서(전방)', '전방카메라', '자동긴급제동(AEB)', '스마트키', '파워윈도우', '풀오토에어컨', '자동주차시스템', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'CD체인저', 'MP3', 'AUX', 'USB', '핸즈프리', 'iPod 단자']"
41990000,47모2976,22년04월(22년형),"11,858km",전기,오토,정보없음,SUV,111cc,회색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,[]
6600000,152구9625,20년04월(20년형),"18,791km",가솔린,오토,정보없음,경차,999cc,흰색,정보없음,없음,없음,사고없음,없음,없음,있음,1회,"['파워핸들', '운전석에어백', '후방카메라', 'ABS', '타이어 공기압감지', '무선도어 잠금장치', '내비게이션', 'AUX', 'USB', '내비게이션 (비순정)']"
19800000,294수6402,18년05월(19년형),"101,184km",디젤,오토,정보없음,RV,"2,199cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,"['알루미늄휠', '전동접이식미러', '주간주행등(DRL)', 'LED리어램프', '자동슬라이딩도어', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '하이패스', '열선시트(뒷좌석)', '워크인시트', '통풍시트(동승석)', '후방감지센서', '운전석에어백', '조수석에어백', '후방카메라', 'ABS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '주차감지센서(전방)', '자동긴급제동(AEB)', '스마트키', '파워윈도우', '자동도어잠금', '풀오토에어컨', '오토라이트', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '무선도어 잠금장치', '내비게이션', '핸즈프리', '블루투스']"
