최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2023.08.28,"1,325km",가솔린,"3,470cc",마칼루 그레이,옵시디언블랙/세비야레드투톤,승용,5인승,AWD,235우3606,2023년,오토,"76,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.11.20,"3,230km",가솔린,"2,497cc",카프리 블루,바닐라 베이지 위빙,승용,5인승,AWD,151소5026,2022년,오토,"69,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.11.20,"1,891km",가솔린,"2,497cc",카프리 블루,바닐라 베이지 위빙,승용,5인승,2WD,151소5068,2022년,오토,"69,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.11.20,"5,537km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,151소5076,2022년,오토,"68,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.11.20,"10,796km",가솔린,"2,497cc",한라산 그린,하바나 브라운(애쉬 칼라 그라데이션),승용,5인승,AWD,151소5018,2022년,오토,"64,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.11.24,"9,292km",가솔린,"2,497cc",본드 실버 (무광),블랙모노톤,승용,5인승,AWD,249고4742,2022년,오토,"67,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.04.22,"84,518km",가솔린,"2,497cc",카본 메탈,블랙모노톤,승용,5인승,AWD,158오9536,2020년,오토,"44,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.12.15,"21,046km",가솔린,"3,470cc",로얄 블루,블랙모노톤,승용,5인승,AWD,286다8115,2020년,오토,"51,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.04.15,"79,687km",가솔린,"2,497cc",세빌 실버,블랙모노톤,승용,5인승,AWD,224러6262,2021년,오토,"41,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.03.24,"61,419km",가솔린,"2,497cc",마칼루 그레이,하바나 브라운,승용,5인승,AWD,233로6032,2022년,오토,"56,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
