최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,가격,option,변속기,Unnamed: 14
2021.10.31,"18,412km",전기,-,상파울로 라임,토렌트 네이비,EV,5인승,AWD,53나2384,2021년,"55,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",,
2021.12.20,"19,864km",전기,-,카본 메탈,블랙모노톤(디지털도트),EV,5인승,AWD,05보6167,2021년,"51,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",,
2021.02.09,"28,611km",가솔린,"2,497cc",우유니 화이트,하바나 브라운,SUV,5인승,AWD,291버6949,2021년,"56,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2022.02.02,"22,432km",가솔린,"2,497cc",마우나 레드,블랙모노톤,SUV,5인승,AWD,195노9332,2022년,"47,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2021.03.22,"23,842km",가솔린,"2,497cc",마우나 레드,옵시디언블랙/세비야레드투톤,SUV,5인승,AWD,359우1234,2021년,"52,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2020.03.01,"3,753km",가솔린,"3,342cc",로얄 블루,브라운/베이지투톤(베이지시트),승용,5인승,2WD,211누6771,2020년,"43,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2021.01.24,"65,110km",가솔린,"2,497cc",우유니 화이트,바닐라베이지투톤,SUV,5인승,2WD,373오8640,2021년,"44,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2022.05.15,"23,915km",가솔린,"2,497cc",카디프 그린,벨벳버건디투톤(벨벳버건디시트),SUV,5인승,AWD,382조4253,2022년,"59,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2021.04.19,"24,507km",가솔린,"3,470cc",비크 블랙,울트라마린블루,SUV,5인승,AWD,397구7876,2021년,"55,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2022.05.12,"18,764km",가솔린,"2,497cc",비크 블랙,울트라마린블루,SUV,5인승,2WD,305무4607,2022년,"48,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2022.04.21,"26,381km",가솔린,"2,497cc",우유니 화이트,옵시디언블랙/세비야레드투톤,SUV,5인승,AWD,144고7276,2022년,"56,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2023.09.25,"5,370km",가솔린,"2,497cc",비크 블랙,벨벳버건디투톤(벨벳버건디시트),SUV,5인승,AWD,233저1173,2023년,"61,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2021.03.11,"41,160km",디젤,"2,151cc",마테호른 화이트(무광),옵시디언블랙,SUV,5인승,AWD,374두1358,2021년,"54,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
