최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2021.03.07,"52,133km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,105너5398,2021년,오토,"27,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.03.22,"29,084km",가솔린,"3,342cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,224러6265,2021년,오토,"32,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.04.13,"74,129km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,204부1988,2020년,오토,"29,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.08.25,"62,765km",가솔린,"2,497cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,373오8656,2020년,오토,"24,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2020.02.23,"46,834km",가솔린,"2,497cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,234조4282,2020년,오토,"28,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.03.28,"56,445km",가솔린,"2,497cc",미드나잇 블랙 펄,브라운,승용,5인승,2WD,239루4139,2021년,오토,"29,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.06.10,"54,512km",가솔린,"2,497cc",포레스트 블랙 펄,브라운,승용,5인승,2WD,104머6462,2021년,오토,"27,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.02.18,"62,333km",가솔린,"3,342cc",포레스트 블랙 펄,블랙모노톤,승용,5인승,2WD,250다8178,2021년,오토,"29,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.04.18,"22,996km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙/베이지(베이지시트),승용,5인승,2WD,250다8145,2022년,오토,"31,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.03.25,"49,236km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,250다8161,2021년,오토,"27,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
