최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2021.06.14,"16,766km",가솔린,"3,778cc",그라파이트 그레이 메탈릭,카키 모노톤,SUV,7인승,AWD,153오3078,2021년,오토,"38,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.11.09,"4,644km",가솔린,"3,778cc",그라파이트 그레이 메탈릭,브라운,SUV,7인승,AWD,257도5465,2023년,오토,"56,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.11.09,"2,935km",가솔린,"3,778cc",어비스블랙펄,블랙(고급),SUV,7인승,AWD,257도5484,2023년,오토,"54,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.09,"32,422km",가솔린,"3,778cc",크리미 화이트 펄,베이지투톤,SUV,7인승,AWD,365소8108,2022년,오토,"39,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.08.17,"23,562km",가솔린,"3,778cc",크리미 화이트 펄,네이비/웜그레이 투톤,SUV,8인승,2WD,153부2760,2022년,오토,"44,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.07,"21,547km",가솔린,"3,778cc",어비스블랙펄,네이비,SUV,7인승,AWD,119나4620,2022년,오토,"42,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동 시트 (운전석), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.08.31,"11,795km",가솔린,"3,778cc",크리미 화이트 펄,카키 모노톤,SUV,7인승,AWD,325오1311,2021년,오토,"40,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.05.18,"11,555km",가솔린,"3,778cc",크리미 화이트 펄,블랙모노톤,SUV,7인승,2WD,162도1640,2022년,오토,"38,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.08.24,"43,947km",가솔린,"3,778cc",타임리스블랙,블랙(고급),SUV,7인승,AWD,141나7079,2020년,오토,"36,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.06.22,"14,464km",디젤,"2,199cc",크리미 화이트 펄,그레이투톤,SUV,7인승,2WD,186오4874,2023년,오토,"41,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.10.26,"3,587km",가솔린,"3,778cc",어비스블랙펄,카키 모노톤,SUV,7인승,AWD,288루6649,2021년,오토,"45,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.20,"7,303km",디젤,"2,199cc",로버스트 에메랄드 펄,블랙(고급),SUV,7인승,AWD,190가8287,2022년,오토,"51,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.26,"24,535km",디젤,"2,199cc",크리미 화이트 펄,블랙(고급),SUV,7인승,AWD,197두6342,2022년,오토,"51,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.16,"36,333km",디젤,"2,199cc",어비스블랙펄,블랙,SUV,7인승,2WD,193도9661,2022년,오토,"43,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동 시트 (운전석), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.03.30,"12,146km",가솔린,"3,778cc",크리미 화이트 펄,블랙모노톤,SUV,7인승,2WD,255도4706,2022년,오토,"36,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동 시트 (운전석), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.09,"9,867km",디젤,"2,199cc",크리미 화이트 펄,블랙(고급),SUV,7인승,2WD,108거8128,2022년,오토,"42,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.05,"78,803km",디젤,"2,199cc",문라이트 블루 펄,블랙모노톤,SUV,7인승,2WD,104소9752,2020년,오토,"33,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.01.31,"18,732km",가솔린,"3,778cc",그라파이트 그레이 메탈릭,블랙모노톤,SUV,8인승,AWD,129고3240,2023년,오토,"42,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동 시트 (운전석), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.05.08,"18,182km",디젤,"2,199cc",크리미 화이트 펄,블랙모노톤,SUV,7인승,2WD,233로6062,2023년,오토,"37,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 선루프, 후방 모니터, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.01.04,"16,577km",가솔린,"3,778cc",문라이트 블루 펄,블랙(고급),SUV,7인승,AWD,182다5078,2022년,오토,"39,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.04.13,"5,420km",디젤,"2,199cc",크리미 화이트 펄,블랙(고급),SUV,7인승,2WD,175고1444,2022년,오토,"48,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.01.03,"11,446km",가솔린,"3,778cc",크리미 화이트 펄,베이지투톤,SUV,7인승,AWD,114모6588,2022년,오토,"41,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.02.06,"93,436km",디젤,"2,199cc",그라파이트 그레이 메탈릭,블랙모노톤,SUV,7인승,AWD,344나2038,2020년,오토,"27,000,000","열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동 시트 (운전석), 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2021.08.01,"81,912km",디젤,"2,199cc",크리미 화이트 펄,블랙모노톤,SUV,7인승,AWD,233로6074,2021년,오토,"33,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.05.26,"33,140km",디젤,"2,199cc",크리미 화이트 펄,카키 모노톤,SUV,7인승,AWD,264주3393,2022년,오토,"44,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.04.08,"29,985km",가솔린,"3,778cc",그라파이트 그레이 메탈릭,블랙모노톤,SUV,7인승,2WD,233로6092,2021년,오토,"37,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.02.03,"13,845km",가솔린,"3,778cc",크리미 화이트 펄,베이지투톤,SUV,7인승,AWD,100어1453,2022년,오토,"41,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.09.14,"22,641km",가솔린,"3,778cc",어비스블랙펄,베이지투톤,SUV,7인승,AWD,364루5040,2021년,오토,"40,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.06.11,"15,244km",가솔린,"3,778cc",크리미 화이트 펄,네이비/웜그레이 투톤,SUV,7인승,AWD,382서6651,2023년,오토,"48,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.03.30,"10,699km",디젤,"2,199cc",어비스블랙펄,블랙(고급),SUV,7인승,2WD,239루4152,2022년,오토,"44,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
