최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
2023.11.01,"4,364km",하이브리드,"1,598cc",크리미 화이트 펄,블랙모노톤(캘리그래피),SUV,5인승,2WD,236우1427,2023년,오토,"45,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.11.06,"34,498km",디젤,"2,151cc",크리미 화이트 펄,블랙모노톤,SUV,7인승,AWD,146보1219,2022년,오토,"39,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 선루프, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.05.22,"50,986km",디젤,"2,151cc",마그네틱 그레이 메탈릭,블랙모노톤,SUV,5인승,AWD,149무7971,2022년,오토,"31,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동식 트렁크, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고",
2023.09.19,"7,301km",가솔린,"2,497cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,101너4592,2023년,오토,"35,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.04.26,"72,148km",디젤,"1,995cc",포레스트 그레이 메탈릭,블랙모노톤,SUV,5인승,AWD,135더6697,2020년,오토,"25,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 전동식 트렁크, 후방 모니터, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.04.17,"16,228km",하이브리드,"1,598cc",라군 블루 펄,블랙,SUV,7인승,2WD,196더4001,2022년,오토,"39,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.01.31,"51,904km",디젤,"2,151cc",마그네틱 그레이 메탈릭,블랙모노톤,SUV,5인승,2WD,236누3310,2021년,오토,"25,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고",
2022.02.23,"9,068km",하이브리드,"1,598cc",라군 블루 펄,라이트그레이,SUV,7인승,AWD,154어2491,2022년,오토,"43,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.10.07,"80,081km",디젤,"2,151cc",마그네틱 그레이 메탈릭,블랙모노톤,SUV,5인승,2WD,236누3307,2020년,오토,"24,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.03.16,"14,459km",가솔린,"2,497cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,123보2149,2022년,오토,"32,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
