최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2022.03.02,"21,396km",가솔린,"1,999cc",크리미 화이트 펄,블랙모노톤,승용,5인승,2WD,340주4179,2022년,오토,"21,000,000","열선 스티어링 휠, 열선 시트 (1열), 선루프, 후방 모니터, 차선 이탈 경보"
2020.06.02,"66,393km",하이브리드,"1,999cc",쉬머링 실버 메탈릭,블랙모노톤,승용,5인승,2WD,373오8684,2020년,오토,"26,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2021.04.25,"32,102km",가솔린,"1,598cc",녹턴 그레이 메탈릭,카멜,승용,5인승,2WD,136저3600,2021년,오토,"28,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.07.27,"12,898km",하이브리드,"1,999cc",어비스블랙펄,블랙모노톤,승용,5인승,2WD,342가3272,2023년,오토,"29,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.08.10,"78,863km",하이브리드,"1,999cc",쉬머링 실버 메탈릭,블랙모노톤,승용,5인승,2WD,163고5759,2021년,오토,"25,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.09.09,"91,597km",하이브리드,"1,999cc",햄턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,236누3344,2020년,오토,"18,100,000","열선 시트 (1열), 차선 이탈 경보"
2020.03.11,"34,383km",가솔린,"1,598cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,207마3384,2020년,오토,"21,800,000","하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2022.09.29,"27,196km",가솔린,"1,999cc",어비스블랙펄,블랙모노톤,승용,5인승,2WD,145도9776,2022년,오토,"25,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.24,"14,555km",하이브리드,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,373부9124,2020년,오토,"29,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2021.04.27,"13,965km",가솔린,"1,999cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,234노3607,2021년,오토,"22,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 전동 시트 (운전석), 후방 모니터, 차선 이탈 경보"
