최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2023.03.02,"2,934km",디젤,"1,998cc",크림슨 레드 펄,그레이(모스),SUV,5인승,AWD,200소2626,2023년,오토,"29,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.05.12,"76,525km",디젤,"1,998cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,185마5896,2021년,오토,"21,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 후방 모니터, 차선 이탈 경보"
2023.04.19,"15,290km",하이브리드,"1,598cc",티탄 그레이 메탈릭,블랙모노톤,SUV,5인승,2WD,107다3983,2023년,오토,"37,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.02,"87,011km",디젤,"1,995cc",페퍼 그레이,블랙,SUV,5인승,AWD,396소9723,2020년,오토,"19,100,000","열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2020.02.17,"41,653km",디젤,"1,995cc",퓨어화이트,블랙,SUV,5인승,2WD,376수3958,2020년,오토,"21,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 후방 모니터, 차선 이탈 경보"
2022.06.07,"35,334km",가솔린,"1,598cc",티탄 그레이 메탈릭,블랙모노톤,SUV,5인승,2WD,176오8866,2022년,오토,"23,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 후방 모니터, 차선 이탈 경보"
2019.12.23,"44,300km",디젤,"1,598cc",팬텀 블랙 펄,블랙,SUV,5인승,2WD,163우2904,2019년,오토,"18,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 후방 모니터, 차선 이탈 경보"
2020.03.15,"83,668km",디젤,"1,598cc",크리미 화이트 펄,블랙,SUV,5인승,2WD,158오9599,2020년,오토,"16,900,000",차선 이탈 경보
2020.04.15,"39,725km",디젤,"1,995cc",팬텀 블랙 펄,블랙,SUV,5인승,2WD,305조5172,2020년,오토,"19,800,000","하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 차선 이탈 경보"
2020.04.15,"32,679km",디젤,"1,598cc",퓨어화이트,블랙,SUV,5인승,2WD,121우1345,2020년,오토,"20,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
